
TrainFileNumber,TestFileNumber,Model,Gridsize,RMSE,MAE,MSE,R^2
Outputfile1,Outputfile2,LSTM,2mm,0.4248,0.3049,0.1842,0.9270
Outputfile1,Outputfile3,LSTM,2mm,0.4520,0.3716,0.2043,0.9076
Outputfile1,Outputfile2,LSTM,5mm,0.3994,0.2822,0.1596,0.9215
Outputfile1,Outputfile3,LSTM,5mm,0.4287,0.3488,0.1838,0.8973
Outputfile1,Outputfile2,LSTM,10mm,0.4257,0.2828,0.1812,0.8881
Outputfile1,Outputfile3,LSTM,10mm,0.4485,0.3525,0.2011,0.8534
Outputfile1,Outputfile2,LSTM,15mm,0.3876,0.2722,0.1503,0.8959
Outputfile1,Outputfile3,LSTM,15mm,0.4479,0.3600,0.2006,0.8297
Outputfile1,Outputfile2,LSTM,20mm,0.3564,0.2472,0.1270,0.9111
Outputfile1,Outputfile3,LSTM,20mm,0.4007,0.3209,0.1606,0.8615
Outputfile2,Outputfile1,LSTM,2mm,0.4452,0.3164,0.1982,0.9077
Outputfile2,Outputfile3,LSTM,2mm,0.3641,0.2890,0.1326,0.9400
Outputfile2,Outputfile1,LSTM,5mm,0.4050,0.2877,0.1640,0.9059
Outputfile2,Outputfile3,LSTM,5mm,0.3521,0.2800,0.1239,0.9308
Outputfile2,Outputfile1,LSTM,10mm,0.3722,0.2667,0.1385,0.9058
Outputfile2,Outputfile3,LSTM,10mm,0.3628,0.2935,0.1317,0.9041
Outputfile2,Outputfile1,LSTM,15mm,0.3694,0.2750,0.1364,0.9045
Outputfile2,Outputfile3,LSTM,15mm,0.3977,0.3119,0.1582,0.8657
Outputfile2,Outputfile1,LSTM,20mm,0.4070,0.2923,0.1657,0.8810
Outputfile2,Outputfile3,LSTM,20mm,0.4157,0.3185,0.1728,0.8510
Outputfile3,Outputfile1,LSTM,2mm,0.4854,0.4009,0.2357,0.8902
Outputfile3,Outputfile2,LSTM,2mm,0.3980,0.3217,0.1584,0.9359
Outputfile3,Outputfile1,LSTM,5mm,0.4332,0.3536,0.1876,0.8922
Outputfile3,Outputfile2,LSTM,5mm,0.3594,0.2877,0.1291,0.9365
Outputfile3,Outputfile1,LSTM,10mm,0.4152,0.3304,0.1724,0.8828
Outputfile3,Outputfile2,LSTM,10mm,0.3640,0.2752,0.1325,0.9182
Outputfile3,Outputfile1,LSTM,15mm,0.4287,0.3491,0.1838,0.8714
Outputfile3,Outputfile2,LSTM,15mm,0.4113,0.3091,0.1692,0.8828
Outputfile3,Outputfile1,LSTM,20mm,0.4258,0.3308,0.1813,0.8698
Outputfile3,Outputfile2,LSTM,20mm,0.4201,0.3073,0.1765,0.8764
Outputfile1,Outputfile2,SVM,2mm,0.9480,0.6957,0.8988,0.6364
Outputfile1,Outputfile3,SVM,2mm,0.8210,0.6156,0.6741,0.6951
Outputfile1,Outputfile2,SVM,5mm,0.6338,0.4750,0.4017,0.8025
Outputfile1,Outputfile3,SVM,5mm,0.5484,0.4226,0.3008,0.8320
Outputfile1,Outputfile2,SVM,10mm,0.4913,0.3569,0.2414,0.8509
Outputfile1,Outputfile3,SVM,10mm,0.4749,0.3650,0.2255,0.8357
Outputfile1,Outputfile2,SVM,15mm,0.4094,0.2924,0.1676,0.8839
Outputfile1,Outputfile3,SVM,15mm,0.4381,0.3414,0.1920,0.8370
Outputfile1,Outputfile2,SVM,20mm,0.3909,0.2752,0.1528,0.8930
Outputfile1,Outputfile3,SVM,20mm,0.4041,0.3085,0.1633,0.8592
Outputfile2,Outputfile1,SVM,2mm,0.9540,0.7032,0.9102,0.5761
Outputfile2,Outputfile3,SVM,2mm,0.7906,0.5926,0.6251,0.7173
Outputfile2,Outputfile1,SVM,5mm,0.6341,0.4753,0.4021,0.7692
Outputfile2,Outputfile3,SVM,5mm,0.5019,0.3899,0.2519,0.8593
Outputfile2,Outputfile1,SVM,10mm,0.4492,0.3357,0.2018,0.8628
Outputfile2,Outputfile3,SVM,10mm,0.4141,0.3234,0.1715,0.8750
Outputfile2,Outputfile1,SVM,15mm,0.3794,0.2854,0.1440,0.8992
Outputfile2,Outputfile3,SVM,15mm,0.4046,0.3181,0.1637,0.8610
Outputfile2,Outputfile1,SVM,20mm,0.3240,0.2493,0.1050,0.9246
Outputfile2,Outputfile3,SVM,20mm,0.3420,0.2712,0.1170,0.8991
Outputfile3,Outputfile1,SVM,2mm,0.9413,0.6966,0.8861,0.5873
Outputfile3,Outputfile2,SVM,2mm,0.9183,0.6695,0.8433,0.6589
Outputfile3,Outputfile1,SVM,5mm,0.6570,0.5056,0.4317,0.7522
Outputfile3,Outputfile2,SVM,5mm,0.6278,0.4729,0.3941,0.8062
Outputfile3,Outputfile1,SVM,10mm,0.4948,0.3922,0.2448,0.8336
Outputfile3,Outputfile2,SVM,10mm,0.4882,0.3822,0.2383,0.8528
Outputfile3,Outputfile1,SVM,15mm,0.4501,0.3587,0.2026,0.8582
Outputfile3,Outputfile2,SVM,15mm,0.4476,0.3472,0.2004,0.8612
Outputfile3,Outputfile1,SVM,20mm,0.4099,0.3314,0.1680,0.8793
Outputfile3,Outputfile2,SVM,20mm,0.4064,0.3196,0.1651,0.8844
