center_x,center_y,center_z,error
-169.0,-169.0,nan,nan
-167.0,-169.0,nan,nan
-165.0,-169.0,nan,nan
-163.0,-169.0,nan,nan
-161.0,-169.0,nan,nan
-159.0,-169.0,nan,nan
-157.0,-169.0,nan,nan
-155.0,-169.0,nan,nan
-153.0,-169.0,nan,nan
-151.0,-169.0,nan,nan
-149.0,-169.0,nan,nan
-147.0,-169.0,nan,nan
-145.0,-169.0,nan,nan
-143.0,-169.0,nan,nan
-141.0,-169.0,nan,nan
-139.0,-169.0,nan,nan
-137.0,-169.0,nan,nan
-135.0,-169.0,nan,nan
-133.0,-169.0,nan,nan
-131.0,-169.0,nan,nan
-129.0,-169.0,nan,nan
-127.0,-169.0,nan,nan
-125.0,-169.0,nan,nan
-123.0,-169.0,nan,nan
-121.0,-169.0,nan,nan
-119.0,-169.0,nan,nan
-117.0,-169.0,nan,nan
-115.0,-169.0,nan,nan
-113.0,-169.0,nan,nan
-111.0,-169.0,nan,nan
-109.0,-169.0,nan,nan
-107.0,-169.0,0.0,nan
-105.0,-169.0,-0.1171995,-5.078823586732434
-103.0,-169.0,-0.22502336,-5.017068169995257
-101.0,-169.0,-0.24459060869565213,-5.049041860454049
-99.0,-169.0,-0.3348562857142857,-5.029573158390977
-97.0,-169.0,-0.41019900000000004,-4.990995691091293
-95.0,-169.0,-0.40830867741935484,-5.025105539025569
-93.0,-169.0,-0.41586996774193546,-5.034787646252306
-91.0,-169.0,-0.4412224117647059,-4.987754951695987
-89.0,-169.0,-0.5764492641509434,-4.8599328871116105
-87.0,-169.0,-0.4296875,-5.064699856412296
-85.0,-169.0,-0.26953125,-5.206550293795109
-83.0,-169.0,-0.31640625,-5.150348217904734
-81.0,-169.0,-0.234375,-5.195653780398974
-79.0,-169.0,-0.2751358695652174,-5.131168485669495
-77.0,-169.0,-0.2837171052631579,-5.137186812275931
-75.0,-169.0,-0.29829545454545453,-5.137932421877312
-73.0,-169.0,-0.30894886363636365,-5.079907727344337
-71.0,-169.0,-0.2450284090909091,-5.178723135813891
-69.0,-169.0,-0.2751358695652174,-5.1324929511482775
-67.0,-169.0,-0.234375,-5.0886169985962155
-65.0,-169.0,-0.2751358695652174,-4.994226370856939
-63.0,-169.0,-0.2837171052631579,-5.029195167694064
-61.0,-169.0,-0.31640625,-4.98442127117242
-59.0,-169.0,-0.2994791666666667,-4.949251856897632
-57.0,-169.0,-0.3196022727272727,-4.946588316181316
-55.0,-169.0,-0.31640625,-4.947677547344034
-53.0,-169.0,-0.2837171052631579,-4.910626429821424
-51.0,-169.0,-0.2751358695652174,-4.967496411012889
-49.0,-169.0,-0.2450284090909091,-4.94822577358243
-47.0,-169.0,-0.2751358695652174,-4.963829906003112
-45.0,-169.0,-0.2994791666666667,-4.917820532643349
-43.0,-169.0,-0.33305921052631576,-4.804162034101075
-41.0,-169.0,-0.2837171052631579,-4.8317515417401955
-39.0,-169.0,-0.3196022727272727,-4.798994958403922
-37.0,-169.0,-0.33305921052631576,-4.726965739707845
-35.0,-169.0,-0.2994791666666667,-4.793459430215932
-33.0,-169.0,-0.31640625,-4.7767921687759545
-31.0,-169.0,-0.2450284090909091,-4.826877346941304
-29.0,-169.0,-0.2751358695652174,-4.803122062129262
-27.0,-169.0,-0.2450284090909091,-4.77856043417229
-25.0,-169.0,-0.2751358695652174,-4.765419092424658
-23.0,-169.0,-0.2704326923076923,-4.7407298737122305
-21.0,-169.0,-0.2450284090909091,-4.769880393820008
-19.0,-169.0,-0.31640625,-4.67260210398277
-17.0,-169.0,-0.2994791666666667,-4.685310447299707
